station_id,station_name,bin_number,depth,latitude,longitude,station_type
ACT0246,"Swains Ledge, 0.3 nautical mile SW of",1,14.0,44.2855,-68.7312,Subordinate
ACT0251,"Pond Island-Western Island, between",1,14.0,44.293,-68.8167,Subordinate
ACT0256,"Birch Island, northwest of",1,14.0,44.3028,-68.7558,Subordinate
ACT0261,"Pond Island, north of",1,14.0,44.3028,-68.81,Weak and variable
ACT0266,"Howard Ledges, ENE of, Eggemoggin Reach",1,14.0,44.3047,-68.7105,Weak and variable
ACT0271,"Howard Ledges, NE of, Eggemoggin Reach",1,14.0,44.305,-68.7013,Weak and variable
ACT0276,"Spectacle Island, 0.2 nmi. NW of",1,14.0,44.3078,-68.7888,Weak and variable
ACT0281,"Pumpkin Island, north of",1,14.0,44.3133,-68.7403,Subordinate
ACT0291,"Islesboro Harbor, NE of, Penobscot Bay",1,75.0,44.3162,-68.8797,Subordinate
ACT0296,"Islesboro Harbor, NE of, Penobscot Bay",1,15.0,44.3172,-68.8778,Subordinate
ACT0306,"Thrumcap I., E of, East Penobscot Bay",1,14.0,44.3233,-68.7467,Weak and variable
ACT0311,"Turtle Head Pt., ESE of, Penobscot Bay",1,15.0,44.3762,-68.8547,Subordinate
ACT0311,"Turtle Head Pt., ESE of, Penobscot Bay",2,40.0,44.3762,-68.8547,Subordinate
ACT0321,"Dice Head, west of, Penobscot Bay",1,15.0,44.3795,-68.8453,Subordinate
ACT0321,"Dice Head, west of, Penobscot Bay",2,58.0,44.3795,-68.8453,Subordinate
ACT0321,"Dice Head, west of, Penobscot Bay",3,96.0,44.3795,-68.8453,Subordinate
ACT0331,"Jones Point, Bagaduce River",1,15.0,44.4258,-68.7583,Subordinate
ACT0346,"Verona I., N of, Easter Ch., Penobscot R",1,10.0,44.5678,-68.7812,Subordinate
ACT0371,"Oak Point, Penobscot River",1,15.0,44.6683,-68.813,Subordinate
ACT0371,"Oak Point, Penobscot River",2,35.0,44.6683,-68.813,Subordinate
ACT0381,"Andrews Island, ESE of",1,15.0,43.9942,-69.013,Subordinate
ACT0381,"Andrews Island, ESE of",2,75.0,43.9942,-69.013,Subordinate
ACT0386,"Little Hurricane Island, southwest of",1,15.0,44.023,-68.9178,Subordinate
ACT0386,"Little Hurricane Island, southwest of",2,40.0,44.023,-68.9178,Subordinate
ACT0391,"Heron Neck, Green Island",1,14.0,44.0297,-68.873,Subordinate
ACT0396,"The Reach, Norton Point",1,14.0,44.0375,-68.8483,Weak and variable
ACT0401,"Triangle Ledge, SSE of",1,15.0,44.0412,-68.758,Subordinate
ACT0401,"Triangle Ledge, SSE of",2,40.0,44.0412,-68.758,Subordinate
ACT0406,"Moore Harbor, W of",1,15.0,44.0422,-68.6925,Subordinate
ACT0406,"Moore Harbor, W of",2,75.0,44.0422,-68.6925,Subordinate
ACT0406,"Moore Harbor, W of",3,120.0,44.0422,-68.6925,Subordinate
ACT0411,"The Reach, NNE of, Green Island",1,14.0,44.0428,-68.8597,Subordinate
ACT0416,"White Islands, northeast of",1,14.0,44.05,-68.9067,Subordinate
ACT0421,Fisherman Island Passage,1,14.0,44.052,-69.045,Subordinate
ACT0426,"Crotch Island, east of",1,14.0,44.0603,-68.9072,Subordinate
ACT0431,"Laireys Island, south of",1,14.0,44.0603,-68.8963,Subordinate
ACT0436,Sheep Island,1,14.0,44.0647,-69.0578,Subordinate
ACT0441,"Leadbetter I., SSW of southern tip",1,14.0,44.0678,-68.8983,Subordinate
ACT0446,"Leadbetter Island, E of southern tip",1,14.0,44.0692,-68.8937,Subordinate
ACT0451,"Leadbetter Island, northwest tip of",1,14.0,44.0838,-68.9112,Subordinate
ACT0456,"Dodge Point-Monroe Island, between",1,14.0,44.0853,-69.0437,Subordinate
ACT0461,"Dogfish Island, NNE of",1,14.0,44.092,-68.9133,Subordinate
ACT0466,Rockland Harbor Breakwater,1,14.0,44.1022,-69.0778,Subordinate
ACT0471,"Browns Head, Vinalhaven Island, NNW of",1,14.0,44.113,-68.9122,Subordinate
ACT0476,"Crabtree Pt., North Haven I., NNE of",1,14.0,44.115,-68.9237,Subordinate
ACT0481,Fox Island Thorofare,1,14.0,44.127,-68.893,Subordinate
ACT0486,"Mark Island, 0.3 nmi., SSE of",1,14.0,44.1667,-68.9805,Subordinate
ACT0491,"Saddle Island, northwest of",1,14.0,44.1808,-68.955,Subordinate
ACT0501,"Lasell Island, SSW of",1,14.0,44.1867,-68.947,Subordinate
ACT0506,"East Goose Rock, NNE of",1,14.0,44.1895,-68.968,Subordinate
ACT0511,Camden Harbor Entrance,1,14.0,44.2028,-69.0467,Subordinate
ACT0516,"Ensign Island, SSE of",1,14.0,44.2233,-68.9587,Subordinate
ACT0521,"Warren Island, northwest of",1,14.0,44.2758,-68.9537,Subordinate
ACT0526,"Ducktrap Harbor, northeast of",1,15.0,44.3,-68.9397,Subordinate
ACT0526,"Ducktrap Harbor, northeast of",2,40.0,44.3,-68.9397,Subordinate
ACT0531,"Ducktrap Harbor, NNE of",1,90.0,44.3045,-68.9558,Subordinate
ACT0531,"Ducktrap Harbor, NNE of",2,160.0,44.3045,-68.9558,Subordinate
ACT0536,"Ducktrap Harbor, NNE of",1,15.0,44.305,-68.9592,Subordinate
ACT0536,"Ducktrap Harbor, NNE of",2,130.0,44.305,-68.9592,Subordinate
ACT0541,"Flat Island, SSW of",1,14.0,44.3138,-68.9242,Subordinate
ACT0546,"Head of the Cape, 0.8 nmi. W, of Penobscot Bay",1,15.0,44.3208,-68.8467,Subordinate
ACT0546,"Head of the Cape, 0.8 nmi. W, of Penobscot Bay",2,130.0,44.3208,-68.8467,Subordinate
ACT0551,"Head of the Cape, NNW of, Penobscot Bay",1,15.0,44.3178,-68.8362,Subordinate
ACT0551,"Head of the Cape, NNW of, Penobscot Bay",2,30.0,44.3178,-68.8362,Subordinate
ACT0551,"Head of the Cape, NNW of, Penobscot Bay",3,130.0,44.3178,-68.8362,Subordinate
ACT0556,"Ram Island, west of, West Penobscot Bay",1,14.0,44.3547,-68.9158,Subordinate
ACT0561,"Temple Heights, NE of, W Penobscot Bay",1,15.0,44.3563,-68.9222,Subordinate
ACT0561,"Temple Heights, NE of, W Penobscot Bay",2,65.0,44.3563,-68.9222,Subordinate
ACT0566,"Temple Heights, NNE of, W Penobscot Bay",1,15.0,44.3575,-68.9437,Subordinate
ACT0566,"Temple Heights, NNE of, W Penobscot Bay",2,30.0,44.3575,-68.9437,Subordinate
ACT0566,"Temple Heights, NNE of, W Penobscot Bay",3,50.0,44.3575,-68.9437,Subordinate
ACT0571,Muscongus Sound,1,,43.9417,-69.4483,Weak and variable
ACT0576,"Damariscotta River, off Cavis Point",1,,43.875,-69.5833,Subordinate
ACT0581,"Sheepscot River, off Barter Island",1,,43.9,-69.6917,Subordinate
ACT0586,"Lowe Point, NE of, Sasanoa River",1,,43.8517,-69.7217,Subordinate
ACT0591,"Lower Hell Gate, Knubble Bay",1,,43.8767,-69.73,Subordinate
ACT0596,"Upper Hell Gate, Sasanoa River",1,,43.895,-69.7717,Subordinate
ACT0601,"Hunniwell Point, northeast of",1,,43.7567,-69.7817,Subordinate
ACT0606,"Bald Head, 0.3 mile southwest of",1,,43.8017,-69.7933,Subordinate
ACT0611,"Bluff Head, west of",1,,43.855,-69.7967,Subordinate
ACT0616,"Fiddler Ledge, north of",1,,43.88,-69.7967,Subordinate
ACT0621,"Doubling Point, south of",1,,43.88,-69.8067,Subordinate
ACT0626,"Lincoln Ledge, east of",1,,43.8967,-69.81,Subordinate
ACT0686,"Odiornes Point, NNE of",1,15.0,43.0433,-70.705,Subordinate
ACT0691,"Odiornes Point, northeast of",1,15.0,43.05,-70.7017,Subordinate
ACT0706,"Whaleback Reef, west of",1,15.0,43.0583,-70.7045,Subordinate
ACT0716,"Wood Island, northwest of",1,15.0,43.0658,-70.705,Subordinate
ACT0726,"Salamander Point, north of",1,15.0,43.0763,-70.717,Subordinate
ACT0731,"Clark Island, south of",1,15.0,43.0738,-70.7247,Subordinate
ACT0736,"Clark Island, southwest of",1,15.0,43.075,-70.7278,Subordinate
ACT0741,"Henderson Point, SSW of",1,15.0,43.0733,-70.7387,Subordinate
ACT0751,"Shapleigh Island Bridge, south of",1,,43.0697,-70.7383,Subordinate
ACT0756,"Pierces Island, northeast of",1,15.0,43.0758,-70.7413,Subordinate
ACT0791,"Dover Point, west of",1,15.0,43.1192,-70.8372,Subordinate
ACT0796,"Goat Island, north of",1,15.0,43.127,-70.8562,Subordinate
ACT0801,"Goat Island and Fox Point, between",1,15.0,43.1228,-70.857,Subordinate
ACT0806,"Knight Hill Township, west of",1,15.0,43.1078,-70.8583,Subordinate
ACT0816,Merrimack River entrance,1,,42.8183,-70.81,Subordinate
ACT0821,"Newburyport, Merrimack River",1,,42.8133,-70.8683,Subordinate
ACT0826,Plum Island Sound entrance,1,,42.705,-70.7883,Subordinate
ACT0831,Annisquam Harbor Light,1,,42.6683,-70.685,Subordinate
ACT0836,Gloucester Harbor entrance,1,,42.5817,-70.675,Subordinate
ACT0841,"Blynman Canal ent., Gloucester Harbor",1,,42.61,-70.6733,Subordinate
ACT0906,"Nahant, 1.8 n.mi. NE of East Point",1,10.0,42.4333,-70.867,Subordinate
ACT0906,"Nahant, 1.8 n.mi. NE of East Point",2,45.0,42.4333,-70.867,Subordinate
ACT0906,"Nahant, 1.8 n.mi. NE of East Point",3,80.0,42.4333,-70.867,Subordinate
ACT0911,"Nahant, 0.4 n.mi. east of East Point",1,15.0,42.4205,-70.8938,Subordinate
ACT0911,"Nahant, 0.4 n.mi. east of East Point",2,25.0,42.4205,-70.8938,Subordinate
ACT0916,"Nahant, 1 n.mi. SE of East Point",1,45.0,42.3972,-70.8528,Subordinate
ACT0916,"Nahant, 1 n.mi. SE of East Point",2,70.0,42.3972,-70.8528,Subordinate
ACT0921,"Pea Island, 0.4 n.mi. southeast of",1,15.0,42.4105,-70.9022,Subordinate
ACT0921,"Pea Island, 0.4 n.mi. southeast of",2,25.0,42.4105,-70.9022,Subordinate
ACT0921,"Pea Island, 0.4 n.mi. southeast of",3,65.0,42.4105,-70.9022,Subordinate
ACT0926,"Bass Point, 1.2 n.mi. southeast of",1,10.0,42.402,-70.9178,Subordinate
ACT0926,"Bass Point, 1.2 n.mi. southeast of",2,45.0,42.402,-70.9178,Subordinate
ACT0926,"Bass Point, 1.2 n.mi. southeast of",3,60.0,42.402,-70.9178,Subordinate
ACT0941,"Little Nahant Cupola, 0.6 n.mi. west of",1,10.0,42.4312,-70.9472,Subordinate
ACT0946,"Sand Point, Black Marsh Channel",1,10.0,42.443,-70.942,Subordinate
ACT0951,Lynn Harbor,1,10.0,42.4545,-70.9463,Subordinate
ACT0956,"Point of Pines, 0.5 n.mi. south of",1,6.0,42.4328,-70.9588,Subordinate
ACT0961,"Point of Pines, 0.1 n.mi. northeast of",1,6.0,42.442,-70.9603,Subordinate
ACT0966,"Finn's Ledge Bell, 0.2 n.mi. west of",1,10.0,42.3695,-70.9237,Subordinate
ACT0966,"Finn's Ledge Bell, 0.2 n.mi. west of",2,25.0,42.3695,-70.9237,Subordinate
ACT0971,"Winthrop Head, 1.1 n.mi. east of",1,10.0,42.3655,-70.942,Subordinate
ACT1026,"The Graves, 0.3 n.mi. SSE of",1,10.0,42.36,-70.8667,Subordinate
ACT1026,"The Graves, 0.3 n.mi. SSE of",2,45.0,42.36,-70.8667,Subordinate
ACT1026,"The Graves, 0.3 n.mi. SSE of",3,60.0,42.36,-70.8667,Subordinate
ACT1031,Thieves Ledge,1,45.0,42.3213,-70.838,Subordinate
ACT1036,"Little Brewster Island, 1.5 n.mi. E of",1,10.0,42.328,-70.8572,Subordinate
ACT1036,"Little Brewster Island, 1.5 n.mi. E of",2,35.0,42.328,-70.8572,Subordinate
ACT1036,"Little Brewster Island, 1.5 n.mi. E of",3,60.0,42.328,-70.8572,Subordinate
ACT1041,Hypocrite Channel,1,10.0,42.3492,-70.8938,Subordinate
ACT1046,"Little Calf Island, 0.4 n.mi. NW of",1,10.0,42.3508,-70.9,Subordinate
ACT1051,"Boston Light, 0.2 n.mi. south of",1,10.0,42.3253,-70.89,Subordinate
ACT1061,"Point Allerton, 0.4 n.mi. northwest of",1,10.0,42.3147,-70.8872,Subordinate
ACT1066,"Calf Island, 0.4 n.mi. west of",1,10.0,42.3388,-70.9063,Subordinate
ACT1066,"Calf Island, 0.4 n.mi. west of",2,25.0,42.3388,-70.9063,Subordinate
ACT1066,"Calf Island, 0.4 n.mi. west of",3,45.0,42.3388,-70.9063,Subordinate
ACT1081,Black Rock Channel,1,10.0,42.3288,-70.9155,Subordinate
ACT1086,"Deer Island Light, 0.4 n.mi. NW of",1,35.0,42.343,-70.9283,Subordinate
ACT1091,"Lovell Island, 0.4 n.mi. north of",1,10.0,42.3408,-70.93,Subordinate
ACT1091,"Lovell Island, 0.4 n.mi. north of",2,25.0,42.3408,-70.93,Subordinate
ACT1101,"Deer Island Light, 0.8 n.mi. ESE of",1,10.0,42.337,-70.938,Subordinate
ACT1106,"Deer Island Light, 0.4 n.mi. east of",1,10.0,42.3408,-70.9462,Subordinate
ACT1106,"Deer Island Light, 0.4 n.mi. east of",2,35.0,42.3408,-70.9462,Subordinate
ACT1111,"Deer Island Light, 0.7 n.mi. ESE of",1,35.0,42.3375,-70.9397,Subordinate
ACT1121,"Deer Island Light, 0.3 n.mi. SSE of",1,10.0,42.3353,-70.957,Subordinate
ACT1121,"Deer Island Light, 0.3 n.mi. SSE of",2,35.0,42.3353,-70.957,Subordinate
ACT1126,"Deer Island Light, 0.4 n.mi. SSE of",1,10.0,42.3328,-70.957,Subordinate
ACT1126,"Deer Island Light, 0.4 n.mi. SSE of",2,25.0,42.3328,-70.957,Subordinate
ACT1131,"Deer Island, southwest of",1,10.0,42.3438,-70.963,Subordinate
ACT1136,"Long Island Head, 0.9 n.mi. NW of",1,10.0,42.34,-70.9738,Subordinate
ACT1136,"Long Island Head, 0.9 n.mi. NW of",2,35.0,42.34,-70.9738,Subordinate
ACT1141,Deer Island Flats,1,10.0,42.3472,-70.9775,Subordinate
ACT1151,"Snake Island, southwest of",1,10.0,42.3628,-70.987,Subordinate
ACT1156,"Deer Island Light, 1.0 n.mi. WSW of",1,10.0,42.3328,-70.9738,Subordinate
ACT1156,"Deer Island Light, 1.0 n.mi. WSW of",2,35.0,42.3328,-70.9738,Subordinate
ACT1161,"Spectacle I. and Long I., between",1,10.0,42.3225,-70.9742,Subordinate
ACT1166,"Spectacle Island, 0.2 n.mi. south of",1,10.0,42.3163,-70.9858,Subordinate
ACT1176,"Spectacle I. and Thompson I., between",1,10.0,42.3208,-70.9928,Subordinate
ACT1181,"Thompson Island, 0.7 n.mi. NNE of",1,10.0,42.3328,-70.9983,Subordinate
ACT1181,"Thompson Island, 0.7 n.mi. NNE of",2,35.0,42.3328,-70.9983,Subordinate
ACT1191,"Fort Independence, 0.3 n.mi. east of",1,10.0,42.3388,-71.0037,Subordinate
ACT1206,"South Boston, Pier 4, 0.2 n.mi. NNE of",1,10.0,42.3522,-71.0308,Subordinate
ACT1206,"South Boston, Pier 4, 0.2 n.mi. NNE of",2,25.0,42.3522,-71.0308,Subordinate
ACT1216,"East Boston, Pier 10, southeast of",1,10.0,42.3758,-71.0467,Subordinate
ACT1216,"East Boston, Pier 10, southeast of",2,25.0,42.3758,-71.0467,Subordinate
ACT1226,"Chelsea River, west of bascule bridge",1,10.0,42.3845,-71.0422,Subordinate
ACT1231,"Chelsea River, below bascule bridge",1,10.0,42.3838,-71.0283,Subordinate
ACT1236,"Mystic River Bridge, 0.1 n.mi. west of",1,10.0,42.3858,-71.0503,Subordinate
ACT1241,"Mystic River Bridge, northwest of",1,10.0,42.3858,-71.0492,Subordinate
ACT1246,"City Point, 0.8 n.mi. SSE of",1,10.0,42.3203,-71.0147,Subordinate
ACT1251,"Squantum Point, 0.8 n.mi. northeast of",1,10.0,42.3105,-71.0283,Subordinate
ACT1256,"Squantum Point, 0.4 n.mi. NNE of",1,10.0,42.3063,-71.0372,Subordinate
ACT1261,Neponset River,1,10.0,42.3042,-71.043,Subordinate
ACT1271,"Lovell Island, 0.1 n.mi. south of",1,10.0,42.3233,-70.9247,Subordinate
ACT1271,"Lovell Island, 0.1 n.mi. south of",2,24.0,42.3233,-70.9247,Subordinate
ACT1276,"Georges Island, northeast of",1,10.0,42.3228,-70.9255,Subordinate
ACT1281,"Georges Island, north of",1,25.0,42.3237,-70.9278,Subordinate
ACT1286,"Gallops Island, 0.2 n.mi. SSE of",1,10.0,42.323,-70.9322,Subordinate
ACT1291,"Gallops Island, 0.1 n.mi. southeast of",1,10.0,42.3242,-70.9317,Subordinate
ACT1291,"Gallops Island, 0.1 n.mi. southeast of",2,35.0,42.3242,-70.9317,Subordinate
ACT1296,"Gallops Island, The Narrows",1,20.0,42.327,-70.9338,Subordinate
ACT1306,"Lovell Island, west of",1,10.0,42.3287,-70.9328,Subordinate
ACT1306,"Lovell Island, west of",2,24.0,42.3287,-70.9328,Subordinate
ACT1316,"Georges Island, 0.5 n.mi. ESE of",1,10.0,42.3195,-70.9162,Subordinate
ACT1321,"Georges Island, 0.4 n.mi. east of",1,10.0,42.3187,-70.9162,Subordinate
ACT1331,"Georges Island, 0.3 n.mi. SSE of",1,10.0,42.313,-70.9258,Subordinate
ACT1331,"Georges Island, 0.3 n.mi. SSE of",2,35.0,42.313,-70.9258,Subordinate
ACT1336,"Georges Island, 0.4 n.mi. SSE of",1,10.0,42.3112,-70.9255,Subordinate
ACT1336,"Georges Island, 0.4 n.mi. SSE of",2,35.0,42.3112,-70.9255,Subordinate
ACT1341,Nubble Channel,1,10.0,42.3288,-70.9488,Subordinate
ACT1356,"Peddocks Island, 0.2 n.mi. north of",1,10.0,42.3053,-70.9333,Subordinate
ACT1356,"Peddocks Island, 0.2 n.mi. north of",2,25.0,42.3053,-70.9333,Subordinate
ACT1361,"Peddocks Island, 0.3 n.mi. northwest of",1,10.0,42.3067,-70.9355,Subordinate
ACT1361,"Peddocks Island, 0.3 n.mi. northwest of",2,25.0,42.3067,-70.9355,Subordinate
ACT1361,"Peddocks Island, 0.3 n.mi. northwest of",3,40.0,42.3067,-70.9355,Subordinate
ACT1366,"Rainsford I. and Windmill Pt., between",1,10.0,42.3087,-70.9387,Subordinate
ACT1366,"Rainsford I. and Windmill Pt., between",2,25.0,42.3087,-70.9387,Subordinate
ACT1371,"Gallops Island, 0.5 n.mi. southwest of",1,10.0,42.3188,-70.947,Subordinate
ACT1371,"Gallops Island, 0.5 n.mi. southwest of",2,25.0,42.3188,-70.947,Subordinate
ACT1376,"Rainsford Island, 0.2 n.mi. NE of",1,10.0,42.315,-70.9492,Subordinate
ACT1376,"Rainsford Island, 0.2 n.mi. NE of",2,20.0,42.315,-70.9492,Subordinate
ACT1381,"Rainsford Island, 0.4 n.mi. SE of",1,10.0,42.3083,-70.9437,Subordinate
ACT1386,"Long I. and Rainsford I., between",1,10.0,42.3117,-70.963,Subordinate
ACT1386,"Long I. and Rainsford I., between",2,25.0,42.3117,-70.963,Subordinate
ACT1391,"West Head, Peddocks I., 0.1 n.mi. W of",1,10.0,42.2908,-70.9537,Subordinate
ACT1391,"West Head, Peddocks I., 0.1 n.mi. W of",2,30.0,42.2908,-70.9537,Subordinate
ACT1396,"Sunken Ledge, 0.2 n.mi. northwest of",1,10.0,42.2978,-70.9645,Subordinate
ACT1396,"Sunken Ledge, 0.2 n.mi. northwest of",2,20.0,42.2978,-70.9645,Subordinate
ACT1401,"West Head, Long I., 0.4 n.mi. south of",1,10.0,42.3053,-70.9713,Subordinate
ACT1401,"West Head, Long I., 0.4 n.mi. south of",2,20.0,42.3053,-70.9713,Subordinate
ACT1406,"Moon Head, 0.4 n.mi. east of",1,10.0,42.3063,-70.9788,Subordinate
ACT1411,"West Head, 0.2 n.mi. southwest of",1,10.0,42.2858,-70.953,Subordinate
ACT1416,"Nut Island, 0.4 n.mi. NNE of",1,10.0,42.2847,-70.9537,Subordinate
ACT1416,"Nut Island, 0.4 n.mi. NNE of",2,20.0,42.2847,-70.9537,Subordinate
ACT1421,"Nut Island, 0.2 n.mi. NNE of",1,10.0,42.283,-70.9553,Subordinate
ACT1421,"Nut Island, 0.2 n.mi. NNE of",2,20.0,42.283,-70.9553,Subordinate
ACT1426,"Peddocks Island, west of",1,10.0,42.2872,-70.9653,Subordinate
ACT1431,"Moon Head, 0.9 n.mi. southeast of",1,10.0,42.2917,-70.9822,Subordinate
ACT1436,"Squantum, 0.3 n.mi. southeast of",1,8.0,42.29,-71.0017,Weak and variable
ACT1441,Weir River entrance,1,10.0,42.2755,-70.8805,Subordinate
ACT1446,"Strawberry Hill, 0.4 n.mi. west of",1,6.0,42.29,-70.8933,Weak and variable
ACT1451,"Crow Point, 0.2 n.mi. north of",1,10.0,42.2662,-70.895,Subordinate
ACT1456,"Bumkin Island, 0.1 n.mi. west of",1,10.0,42.2808,-70.9062,Subordinate
ACT1456,"Bumkin Island, 0.1 n.mi. west of",2,20.0,42.2808,-70.9062,Subordinate
ACT1461,"Windmill Point, 0.7 n.mi. SSE of",1,10.0,42.2925,-70.9162,Subordinate
ACT1461,"Windmill Point, 0.7 n.mi. SSE of",2,25.0,42.2925,-70.9162,Subordinate
ACT1466,"Bumkin Island, 0.4 n.mi. west of",1,10.0,42.2805,-70.9125,Subordinate
ACT1476,"Sheep Island, 0.3 n.mi. west of",1,10.0,42.2812,-70.933,Subordinate
ACT1476,"Sheep Island, 0.3 n.mi. west of",2,25.0,42.2812,-70.933,Subordinate
ACT1486,"Pig Rock, north of",1,10.0,42.2822,-70.9408,Subordinate
ACT1486,"Pig Rock, north of",2,25.0,42.2822,-70.9408,Subordinate
ACT1491,"Pig Rock, northwest of",1,20.0,42.2813,-70.9425,Subordinate
ACT1496,"Grape Island and Lower Neck, between",1,10.0,42.2645,-70.925,Subordinate
ACT1501,Grape Island,1,10.0,42.268,-70.9313,Subordinate
ACT1506,"Stodders Neck, Weymouth Back River",1,10.0,42.2533,-70.9275,Subordinate
ACT1516,"Gull Point, 0.4 n.mi. ESE of",1,10.0,42.253,-70.947,Subordinate
ACT1516,"Gull Point, 0.4 n.mi. ESE of",2,25.0,42.253,-70.947,Subordinate
ACT1526,Germantown Point,1,20.0,42.2463,-70.9647,Subordinate
ACT1531,"Pine Point, southeast of",1,10.0,42.238,-70.968,Weak and variable
ACT1536,"Philip Head, Town River Bay",1,10.0,42.25,-70.9703,Subordinate
ACT1546,Barnstable Harbor,1,7.0,41.7267,-70.2733,Subordinate
ACT1551,Sandwich Harbor,1,,41.7667,-70.4833,Weak and variable
ACT1556,Sagamore Beach,1,,41.8,-70.5167,Weak and variable
ACT1591,"Old Man Shoal, Nantucket Shoals",1,,41.2267,-69.9833,Subordinate
ACT1596,"Miacomet Pond, 3.0 miles SSE of",1,,41.19,-70.0967,Subordinate
ACT1601,"Tuckernuck Island, 4.2 miles SSW of",1,,41.2262,-70.2817,Subordinate
ACT1611,"Pollock Rip Channel, east end",1,,41.565,-69.9233,Subordinate
ACT1616,Pollock Rip Channel (Butler Hole),1,15.0,41.55,-69.9833,Harmonic
ACT1626,"Monomoy Pt., channel 0.2 mile west of",1,,41.55,-70.0217,Subordinate
ACT1631,Chatham Roads,1,,41.6433,-70.0283,Weak and variable
ACT1636,"Stage Harbor, west of Morris Island",1,,41.6567,-69.975,Subordinate
ACT1641,"Dennis Port, 2.2 miles south of",1,,41.6167,-70.115,Subordinate
ACT1646,"Monomoy Point, 6 miles west of",1,,41.5583,-70.15,Subordinate
ACT1651,Handkerchief Lighted Whistle Buoy 'H',1,,41.4883,-70.0667,Subordinate
ACT1656,"Halfmoon Shoal, 1.9 miles northeast of",1,,41.4842,-70.1925,Subordinate
ACT1661,"Halfmoon Shoal, 3.5 miles east of",1,,41.4683,-70.1533,Subordinate
ACT1666,"Great Point, 0.5 mile west of",1,,41.3933,-70.0617,Subordinate
ACT1671,"Great Point, 3 miles west of",1,,41.39,-70.1133,Subordinate
ACT1676,"Tuckernuck Shoal, off east end",1,,41.405,-70.1733,Subordinate
ACT1686,Nantucket Harbor entrance channel,1,,41.3067,-70.1,Subordinate
ACT1691,"Eel Pt., Nantucket I. 2.5 miles NE of",1,,41.3217,-70.17,Subordinate
ACT1696,"Muskeget I., channel 1 mile northeast of",1,,41.35,-70.285,Subordinate
ACT1701,"Muskeget Rock, 1.3 miles southwest of",1,,41.32,-70.3933,Subordinate
ACT1706,Muskeget Channel,1,,41.3483,-70.42,Subordinate
ACT1716,"Long Shoal-Norton Shoal, between",1,,41.4083,-70.3333,Subordinate
ACT1721,"Cape Poge Lt., 1.7 miles SSE of",1,,41.4,-70.4267,Subordinate
ACT1726,Cross Rip Channel,1,,41.4483,-70.2917,Subordinate
ACT1731,"Cape Poge Lt., 3.2 miles northeast of",1,,41.4583,-70.4,Subordinate
ACT1736,"Broken Ground-Horseshoe Shoal, between",1,,41.55,-70.285,Subordinate
ACT1741,"Point Gammon, 1.2 miles south of",1,,41.5883,-70.2567,Subordinate
ACT1746,"Hyannis Harbor, entrance off breakwater",1,,41.6233,-70.2917,Weak and variable
ACT1751,Lewis Bay entrance channel,1,,41.6317,-70.2733,Subordinate
ACT1756,Cotuit Bay entrance (Bluff Point),1,,41.61,-70.43,Subordinate
ACT1761,"Wreck Shoal-Eldridge Shoal, between",1,,41.5333,-70.4283,Subordinate
ACT1766,Hedge Fence Lighted Gong Buoy 22,1,,41.4717,-70.4833,Subordinate
